BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
135000,2.1584,2.23212,2.23217,3.68428,3.21737,2.13242,10792,3.18193,0,0
140000,2.152,2.22926,2.22932,3.68428,3.21737,2.13829,10760,3.19863,0,0
145000,2.1296,2.22582,2.22585,3.68428,3.21737,2.13569,10648,3.20744,0,0
150000,2.1248,2.22245,2.22247,3.68428,3.21737,2.13242,10624,3.20353,0,0
155000,2.128,2.21941,2.21945,3.68428,3.21737,2.13109,10640,3.19863,0,0
160000,2.1328,2.2167,2.21673,3.68428,3.21737,2.13161,10664,3.19664,0,0
165000,2.1808,2.21561,2.21564,3.68428,3.21737,2.14636,10904,3.19741,0,0
170000,2.5152,2.22442,2.22446,3.68428,3.21737,2.25701,12576,3.21955,0,0
175000,2.7888,2.24055,2.24057,3.68428,3.21737,2.41655,13944,3.38552,0,0
180000,3.1472,2.26573,2.26576,3.68428,3.21737,2.63575,15736,3.62483,0,0
185000,3.2288,2.29176,2.29179,3.68428,3.21737,2.81366,16144,3.95362,0,0
190000,3.2288,2.31642,2.31644,3.68428,3.21737,2.9382,16144,4.22049,0,0
195000,3.2096,2.33932,2.33934,3.68428,3.21737,3.01962,16048,4.4073,0,0
200000,3.2208,2.36136,2.36138,3.68428,3.21737,3.07998,16104,4.52943,0,0
205000,3.2272,2.38248,2.3825,3.68428,3.21737,3.12414,16136,4.61996,0,0
210000,3.2912,2.40411,2.40415,3.68428,3.21737,3.17426,16456,4.68621,0,0
215000,3.3408,2.4259,2.42591,3.68428,3.21737,3.22422,16704,4.76139,0,0
220000,3.3408,2.44669,2.44673,3.68428,3.21737,3.2592,16704,4.83633,0,0
225000,3.3344,2.46642,2.46646,3.68428,3.21737,3.28176,16672,4.88879,0,0
230000,3.3984,2.48668,2.48671,3.68428,3.21737,3.31675,16992,4.92264,0,0
235000,3.3648,2.50536,2.50539,3.68428,3.21737,3.33116,16824,4.97512,0,0
240000,3.3584,2.52313,2.52315,3.68428,3.21737,3.33934,16792,4.99675,0,0
245000,3.4144,2.54132,2.54135,3.68428,3.21737,3.36185,17072,5.009,0,0
250000,3.4608,2.55971,2.55973,3.68428,3.21737,3.39154,17304,5.04278,0,0
255000,3.4848,2.57785,2.57788,3.68428,3.21737,3.41952,17424,5.08731,0,0
260000,3.5168,2.59591,2.59592,3.68428,3.21737,3.4487,17584,5.12928,0,0
265000,3.56,2.6141,2.61411,3.68428,3.21737,3.48209,17800,5.17305,0,0
270000,3.5248,2.63096,2.63097,3.68428,3.21737,3.4949,17624,5.22314,0,0
275000,3.4288,2.64547,2.64549,3.68428,3.21737,3.47507,17144,5.24236,0,0
280000,3.4224,2.65934,2.65935,3.68428,3.21737,3.45927,17112,5.21261,0,0
285000,3.4048,2.67242,2.67243,3.68428,3.21737,3.44293,17024,5.18891,0,0
290000,3.4224,2.68535,2.68537,3.68428,3.21737,3.43677,17112,5.16439,0,0
295000,3.4096,2.69763,2.69766,3.68428,3.21737,3.42862,17048,5.15516,0,0
300000,3.472,2.71053,2.71055,3.68428,3.21737,3.44163,17360,5.14293,0,0
305000,3.5232,2.72386,2.72388,3.68428,3.21737,3.4661,17616,5.16245,0,0
310000,3.5184,2.73667,2.73668,3.68428,3.21737,3.48179,17592,5.19916,0,0
315000,3.456,2.74809,2.7481,3.68428,3.21737,3.47405,17280,5.22269,0,0
320000,3.464,2.75928,2.7593,3.68428,3.21737,3.47104,17320,5.21108,0,0
325000,3.4064,2.76923,2.76924,3.68428,3.21737,3.45165,17032,5.20656,0,0
330000,3.3552,2.77811,2.77813,3.68428,3.21737,3.42271,16776,5.17747,0,0
335000,3.3344,2.78641,2.78642,3.68428,3.21737,3.39622,16672,5.13407,0,0
340000,3.4208,2.79574,2.79575,3.68428,3.21737,3.40359,17104,5.09433,0,0
345000,3.5152,2.80617,2.80619,3.68428,3.21737,3.43708,17576,5.10539,0,0
350000,3.4928,2.81598,2.81599,3.68428,3.21737,3.45379,17464,5.15561,0,0
355000,3.4544,2.82497,2.82497,3.68428,3.21737,3.45397,17272,5.18069,0,0
360000,3.4336,2.83342,2.83343,3.68428,3.21737,3.44786,17168,5.18096,0,0
365000,3.3568,2.84059,2.8406,3.68428,3.21737,3.42054,16784,5.17179,0,0
370000,3.3424,2.84737,2.84738,3.68428,3.21737,3.3971,16712,5.13082,0,0
375000,3.3024,2.85344,2.85346,3.68428,3.21737,3.36869,16512,5.09565,0,0
380000,3.3488,2.85996,2.85997,3.68428,3.21737,3.36272,16744,5.05304,0,0
385000,3.5536,2.86897,2.86897,3.68428,3.21737,3.41999,17768,5.04408,0,0
390000,3.52,2.87731,2.87733,3.68428,3.21737,3.44999,17600,5.12998,0,0
395000,3.3744,2.88361,2.88362,3.68428,3.21737,3.42731,16872,5.17499,0,0
400000,3.3152,2.889,2.88902,3.68428,3.21737,3.39368,16576,5.14097,0,0
405000,3.3216,2.89434,2.89436,3.68428,3.21737,3.37206,16608,5.09052,0,0
410000,3.424,2.9008,2.9008,3.68428,3.21737,3.38764,17120,5.05808,0,0
415000,3.216,2.9046,2.9046,3.68428,3.21737,3.33615,16080,5.08146,0,0
420000,3.1088,2.90703,2.90704,3.68428,3.21737,3.26794,15544,5.00422,0,0
425000,3.1632,2.91004,2.91004,3.68428,3.21737,3.23652,15816,4.90191,0,0
430000,3.1888,2.91328,2.9133,3.68428,3.21737,3.2222,15944,4.85478,0,0
435000,2.9184,2.91334,2.91335,3.68428,3.21737,3.13106,14592,4.83331,0,0
440000,2.312,2.90651,2.90653,3.68428,3.21737,2.88534,11560,4.69659,0,0
445000,2.264,2.89929,2.89931,3.68428,3.21737,2.69894,11320,4.32802,0,0
450000,2.2496,2.89207,2.89208,3.68428,3.21737,2.56414,11248,4.04841,0,0
455000,2.2128,2.88461,2.88462,3.68428,3.21737,2.45874,11064,3.84621,0,0
460000,2.1968,2.87713,2.87715,3.68428,3.21737,2.38016,10984,3.68811,0,0
465000,2.16,2.86942,2.86943,3.68428,3.21737,2.31411,10800,3.57023,0,0
470000,2.1552,2.86182,2.86183,3.68428,3.21737,2.26644,10776,3.47116,0,0
475000,2.1968,2.85482,2.85484,3.68428,3.21737,2.24555,10984,3.39965,0,0
480000,2.2112,2.84812,2.84812,3.68428,3.21737,2.23524,11056,3.36832,0,0
485000,2.1808,2.84124,2.84125,3.68428,3.21737,2.21891,10904,3.35286,0,0
490000,2.168,2.83437,2.83438,3.68428,3.21737,2.20364,10840,3.32836,0,0
495000,2.1536,2.82749,2.82751,3.68428,3.21737,2.18863,10768,3.30545,0,0
500000,2.1824,2.82104,2.82105,3.68428,3.21737,2.18676,10912,3.28294,0,0
505000,2.1968,2.81486,2.81486,3.68428,3.21737,2.18977,10984,3.28014,0,0
510000,2.1776,2.80861,2.80862,3.68428,3.21737,2.18612,10888,3.28466,0,0
515000,2.1488,2.80221,2.80221,3.68428,3.21737,2.17492,10744,3.27918,0,0
520000,2.1264,2.79571,2.79571,3.68428,3.21737,2.16037,10632,3.26239,0,0
525000,2.1456,2.78952,2.78953,3.68428,3.21737,2.15594,10728,3.24055,0,0
530000,2.2336,2.78427,2.78428,3.68428,3.21737,2.17924,11168,3.2339,0,0
535000,1.4624,2.77192,2.77192,3.68428,3.21737,1.96418,7312,3.26885,0,0
540000,1.6896,2.7619,2.76191,3.68428,3.21737,1.88181,8448,2.94628,0,0
545000,1.9088,2.75407,2.75408,3.68428,3.21737,1.88991,9544,2.82271,0,0
550000,2.1456,2.74854,2.74855,3.68428,3.21737,1.96661,10728,2.83486,0,0
555000,2.2896,2.7444,2.74441,3.68428,3.21737,2.06351,11448,2.94992,0,0
560000,2.2912,2.74036,2.74036,3.68428,3.21737,2.13182,11456,3.09527,0,0
565000,2.256,2.73607,2.73608,3.68428,3.21737,2.16907,11280,3.19773,0,0
570000,2.1984,2.73135,2.73137,3.68428,3.21737,2.17787,10992,3.25361,0,0
575000,2.1888,2.72664,2.72665,3.68428,3.21737,2.18115,10944,3.26681,0,0
580000,2.2016,2.72211,2.72212,3.68428,3.21737,2.18728,11008,3.27172,0,0
585000,2.1616,2.71732,2.71733,3.68428,3.21737,2.17958,10808,3.28093,0,0
590000,2.1648,2.71264,2.71264,3.68428,3.21737,2.17515,10824,3.26937,0,0
595000,2.1696,2.70807,2.70808,3.68428,3.21737,2.17348,10848,3.26272,0,0
600000,2.1648,2.70355,2.70355,3.68428,3.21737,2.17088,10824,3.26022,0,0
605000,2.2064,2.69944,2.69944,3.68428,3.21737,2.18153,11032,3.25632,0,0
610000,2.16,2.69502,2.69502,3.68428,3.21737,2.17507,10800,3.2723,0,0
615000,2.12,2.69034,2.69035,3.68428,3.21737,2.15855,10600,3.26261,0,0
620000,2.1664,2.68612,2.68612,3.68428,3.21737,2.16091,10832,3.23783,0,0
625000,2.1264,2.68164,2.68164,3.68428,3.21737,2.15055,10632,3.24136,0,0
630000,2.1616,2.67751,2.67752,3.68428,3.21737,2.15387,10808,3.22583,0,0
635000,2.1424,2.6733,2.67331,3.68428,3.21737,2.15043,10712,3.2308,0,0
640000,2.1504,2.66921,2.66922,3.68428,3.21737,2.15042,10752,3.22564,0,0
645000,2.1952,2.66554,2.66554,3.68428,3.21737,2.16385,10976,3.22563,0,0
650000,2.2176,2.66209,2.6621,3.68428,3.21737,2.17998,11088,3.24578,0,0
655000,2.1456,2.65815,2.65815,3.68428,3.21737,2.16966,10728,3.26997,0,0
660000,2.16,2.65438,2.65438,3.68428,3.21737,2.16676,10800,3.2545,0,0
665000,2.136,2.65048,2.65048,3.68428,3.21737,2.15754,10680,3.25015,0,0
670000,2.1584,2.64681,2.64681,3.68428,3.21737,2.15779,10792,3.2363,0,0
675000,2.3472,2.64459,2.64459,3.68428,3.21737,2.21462,11736,3.23669,0,0
680000,2.6848,2.64488,2.64489,3.68428,3.21737,2.35567,13424,3.32192,0,0
685000,2.8064,2.64606,2.64607,3.68428,3.21737,2.49089,14032,3.53351,0,0
690000,2.88,2.64776,2.64776,3.68428,3.21737,2.60762,14400,3.73634,0,0
695000,2.9872,2.6502,2.6502,3.68428,3.21737,2.7215,14936,3.91143,0,0
700000,3.136,2.65367,2.65367,3.68428,3.21737,2.84585,15680,4.08224,0,0
705000,3.2368,2.6578,2.65781,3.68428,3.21737,2.96313,16184,4.26877,0,0
710000,3.1808,2.66149,2.66149,3.68428,3.21737,3.02843,15904,4.4447,0,0
715000,3.1648,2.66501,2.66501,3.68428,3.21737,3.06934,15824,4.54265,0,0
720000,3.264,2.66917,2.66917,3.68428,3.21737,3.12774,16320,4.60401,0,0
725000,3.3088,2.67358,2.67358,3.68428,3.21737,3.18206,16544,4.69161,0,0
730000,3.392,2.6785,2.67851,3.68428,3.21737,3.24504,16960,4.77309,0,0
735000,3.3968,2.68339,2.68339,3.68428,3.21737,3.29057,16984,4.86756,0,0
740000,3.368,2.68801,2.68801,3.68428,3.21737,3.3138,16840,4.93585,0,0
745000,3.3632,2.69254,2.69254,3.68428,3.21737,3.32862,16816,4.9707,0,0
750000,3.3456,2.6969,2.6969,3.68428,3.21737,3.33371,16728,4.99293,0,0
755000,3.3472,2.7012,2.70121,3.68428,3.21737,3.33776,16736,5.00057,0,0
760000,3.3712,2.70561,2.70562,3.68428,3.21737,3.34779,16856,5.00664,0,0
765000,3.4752,2.71064,2.71065,3.68428,3.21737,3.38601,17376,5.02169,0,0
770000,3.4704,2.71557,2.71558,3.68428,3.21737,3.41133,17352,5.07902,0,0
775000,3.5296,2.72083,2.72083,3.68428,3.21737,3.44681,17648,5.11699,0,0
780000,3.4784,2.72568,2.72569,3.68428,3.21737,3.45629,17392,5.17022,0,0
785000,3.4528,2.73031,2.73032,3.68428,3.21737,3.45524,17264,5.18443,0,0
790000,3.4048,2.73458,2.73459,3.68428,3.21737,3.44011,17024,5.18286,0,0
795000,3.4688,2.7392,2.73921,3.68428,3.21737,3.44872,17344,5.16016,0,0
800000,3.4464,2.74362,2.74363,3.68428,3.21737,3.44802,17232,5.17307,0,0
805000,3.4336,2.74791,2.74792,3.68428,3.21737,3.44369,17168,5.17203,0,0
810000,3.5088,2.7526,2.75261,3.68428,3.21737,3.46323,17544,5.16554,0,0
815000,3.576,2.75765,2.75766,3.68428,3.21737,3.49706,17880,5.19484,0,0
820000,3.5776,2.76265,2.76266,3.68428,3.21737,3.52122,17888,5.24559,0,0
825000,3.4848,2.76703,2.76703,3.68428,3.21737,3.51029,17424,5.28183,0,0
830000,3.4416,2.77109,2.7711,3.68428,3.21737,3.48969,17208,5.26544,0,0
835000,3.448,2.77515,2.77516,3.68428,3.21737,3.47718,17240,5.23453,0,0
840000,3.424,2.77901,2.77901,3.68428,3.21737,3.46123,17120,5.21577,0,0
845000,3.4976,2.78326,2.78326,3.68428,3.21737,3.47214,17488,5.19184,0,0
850000,3.4512,2.78719,2.78719,3.68428,3.21737,3.46586,17256,5.20821,0,0
855000,3.5216,2.79149,2.79149,3.68428,3.21737,3.48258,17608,5.19879,0,0
860000,3.608,2.79623,2.79624,3.68428,3.21737,3.52021,18040,5.22387,0,0
865000,3.6656,2.80126,2.80126,3.68428,3.21737,3.56382,18328,5.28031,0,0
870000,3.5664,2.80566,2.80566,3.68428,3.21737,3.5646,17832,5.34574,0,0
875000,3.5088,2.80967,2.80968,3.68428,3.21737,3.54786,17544,5.3469,0,0
880000,3.5008,2.8136,2.81361,3.68428,3.21737,3.53374,17504,5.32179,0,0
885000,3.5424,2.81772,2.81773,3.68428,3.21737,3.53634,17712,5.30061,0,0
890000,3.4736,2.8214,2.82141,3.68428,3.21737,3.51752,17368,5.30451,0,0
895000,3.4992,2.82519,2.82519,3.68428,3.21737,3.51202,17496,5.27628,0,0
900000,3.5648,2.8293,2.8293,3.68428,3.21737,3.52786,17824,5.26803,0,0
905000,3.5312,2.83318,2.83318,3.68428,3.21737,3.52886,17656,5.29178,0,0
910000,3.512,2.83691,2.83691,3.68428,3.21737,3.5238,17560,5.29329,0,0
915000,3.5312,2.8407,2.8407,3.68428,3.21737,3.52602,17656,5.2857,0,0
920000,3.4048,2.84377,2.84377,3.68428,3.21737,3.48965,17024,5.28903,0,0
925000,3.4784,2.8472,2.8472,3.68428,3.21737,3.48628,17392,5.23448,0,0
930000,3.5088,2.85075,2.85076,3.68428,3.21737,3.49303,17544,5.22942,0,0
935000,3.4384,2.8539,2.8539,3.68428,3.21737,3.47664,17192,5.23955,0,0
940000,3.5488,2.85759,2.8576,3.68428,3.21737,3.49829,17744,5.21497,0,0
945000,3.5488,2.86125,2.86125,3.68428,3.21737,3.51344,17744,5.24744,0,0
950000,3.5504,2.86488,2.86488,3.68428,3.21737,3.52453,17752,5.27017,0,0
955000,3.1856,2.86655,2.86656,3.68428,3.21737,3.42285,15928,5.2868,0,0
960000,3.1408,2.86798,2.86799,3.68428,3.21737,3.33824,15704,5.13428,0,0
965000,3.0496,2.86892,2.86893,3.68428,3.21737,3.25165,15248,5.00735,0,0
970000,2.992,2.86956,2.86956,3.68428,3.21737,3.17375,14960,4.87747,0,0
975000,2.5696,2.86802,2.86802,3.68428,3.21737,2.99251,12848,4.76063,0,0
980000,2.3072,2.86516,2.86517,3.68428,3.21737,2.78691,11536,4.48876,0,0
985000,2.2976,2.86228,2.86228,3.68428,3.21737,2.64012,11488,4.18037,0,0
990000,2.2672,2.85927,2.85928,3.68428,3.21737,2.52824,11336,3.96018,0,0
995000,2.2544,2.85623,2.85624,3.68428,3.21737,2.44609,11272,3.79237,0,0
1000000,2.2112,2.85301,2.85302,3.68428,3.21737,2.37562,11056,3.66914,0,0
1005000,2.1776,2.84965,2.84965,3.68428,3.21737,2.31622,10888,3.56344,0,0
1010000,2.2016,2.84644,2.84644,3.68428,3.21737,2.28183,11008,3.47432,0,0
1015000,2.1824,2.84317,2.84317,3.68428,3.21737,2.252,10912,3.42275,0,0
1020000,2.1792,2.83991,2.83992,3.68428,3.21737,2.23016,10896,3.378,0,0
1025000,2.1696,2.83664,2.83665,3.68428,3.21737,2.21199,10848,3.34524,0,0
1030000,2.1968,2.83354,2.83354,3.68428,3.21737,2.20744,10984,3.31799,0,0
1035000,2.2096,2.83052,2.83053,3.68428,3.21737,2.20808,11048,3.31115,0,0
1040000,2.1408,2.82721,2.82721,3.68428,3.21737,2.1879,10704,3.31213,0,0
1045000,2.1152,2.8238,2.82381,3.68428,3.21737,2.16609,10576,3.28185,0,0
1050000,2.144,2.82056,2.82057,3.68428,3.21737,2.15946,10720,3.24913,0,0
1055000,2.128,2.81728,2.81728,3.68428,3.21737,2.15002,10640,3.23919,0,0
1060000,1.0192,2.8088,2.80881,3.68428,3.21737,1.81078,5096,3.22504,0,0
1065000,1.7024,2.80361,2.80361,3.68428,3.21737,1.77826,8512,2.71617,0,0
1070000,1.9312,2.79953,2.79953,3.68428,3.21737,1.82414,9656,2.6674,0,0
1075000,2.176,2.79663,2.79663,3.68428,3.21737,1.9297,10880,2.73622,0,0
1080000,2.328,2.79446,2.79446,3.68428,3.21737,2.04919,11640,2.89455,0,0
1085000,2.3152,2.79225,2.79225,3.68428,3.21737,2.12899,11576,3.07379,0,0
1090000,2.2304,2.78967,2.78968,3.68428,3.21737,2.15942,11152,3.19349,0,0
1095000,2.208,2.78702,2.78702,3.68428,3.21737,2.17399,11040,3.23912,0,0
1100000,2.2048,2.78437,2.78438,3.68428,3.21737,2.18323,11024,3.26099,0,0
1105000,2.1776,2.78163,2.78163,3.68428,3.21737,2.18154,10888,3.27485,0,0
1110000,2.1648,2.77885,2.77885,3.68428,3.21737,2.17652,10824,3.27232,0,0
1115000,2.1984,2.77624,2.77625,3.68428,3.21737,2.18308,10992,3.26478,0,0
1120000,2.1792,2.77358,2.77358,3.68428,3.21737,2.18192,10896,3.27463,0,0
1125000,2.1376,2.77075,2.77075,3.68428,3.21737,2.16862,10688,3.27288,0,0
1130000,2.1472,2.76799,2.768,3.68428,3.21737,2.1622,10736,3.25293,0,0
1135000,2.1984,2.76548,2.76549,3.68428,3.21737,2.17306,10992,3.24329,0,0
1140000,2.152,2.76279,2.7628,3.68428,3.21737,2.16674,10760,3.25959,0,0
1145000,2.1648,2.76018,2.76018,3.68428,3.21737,2.16616,10824,3.25011,0,0
1150000,2.1728,2.75763,2.75763,3.68428,3.21737,2.16815,10864,3.24924,0,0
1155000,2.1648,2.75506,2.75507,3.68428,3.21737,2.16715,10824,3.25223,0,0
1160000,2.1552,2.75248,2.75248,3.68428,3.21737,2.16356,10776,3.25072,0,0
1165000,2.2032,2.75012,2.75012,3.68428,3.21737,2.17545,11016,3.24534,0,0
1170000,2.1552,2.74758,2.74758,3.68428,3.21737,2.16938,10776,3.26318,0,0
1175000,2.16,2.74508,2.74508,3.68428,3.21737,2.16656,10800,3.25407,0,0
1180000,2.2048,2.74279,2.74279,3.68428,3.21737,2.17803,11024,3.24985,0,0
1185000,2.5152,2.74183,2.74183,3.68428,3.21737,2.27918,12576,3.26705,0,0
1190000,2.7776,2.74198,2.74198,3.68428,3.21737,2.42871,13888,3.41878,0,0
1195000,2.8752,2.74253,2.74254,3.68428,3.21737,2.56266,14376,3.64306,0,0
1200000,3.0064,2.74363,2.74364,3.68428,3.21737,2.69578,15032,3.84398,0,0
1205000,3.1184,2.74519,2.7452,3.68428,3.21737,2.82257,15592,4.04367,0,0
1210000,3.2128,2.74712,2.74712,3.68428,3.21737,2.93964,16064,4.23385,0,0
1215000,3.288,2.74935,2.74935,3.68428,3.21737,3.04415,16440,4.40945,0,0
1220000,3.2592,2.75144,2.75144,3.68428,3.21737,3.10866,16296,4.56622,0,0
1225000,3.2336,2.7534,2.75341,3.68428,3.21737,3.14614,16168,4.66299,0,0
1230000,3.2848,2.75556,2.75557,3.68428,3.21737,3.18774,16424,4.71921,0,0
1235000,3.3536,2.75799,2.75799,3.68428,3.21737,3.2375,16768,4.78161,0,0
1240000,3.3632,2.76043,2.76043,3.68428,3.21737,3.27521,16816,4.85625,0,0
1245000,3.448,2.76319,2.76319,3.68428,3.21737,3.32705,17240,4.91281,0,0
1250000,3.3616,2.76558,2.76558,3.68428,3.21737,3.33741,16808,4.99057,0,0
1255000,3.36,2.76795,2.76795,3.68428,3.21737,3.34419,16800,5.00612,0,0
1260000,3.4032,2.77047,2.77048,3.68428,3.21737,3.36189,17016,5.01628,0,0
1265000,3.3712,2.77284,2.77285,3.68428,3.21737,3.36468,16856,5.04284,0,0
1270000,3.3504,2.77512,2.77512,3.68428,3.21737,3.3604,16752,5.04703,0,0
1275000,3.3712,2.77746,2.77746,3.68428,3.21737,3.36364,16856,5.0406,0,0
1280000,3.4304,2.78001,2.78001,3.68428,3.21737,3.38367,17152,5.04546,0,0
1285000,3.4384,2.78257,2.78257,3.68428,3.21737,3.40009,17192,5.0755,0,0
1290000,3.4576,2.78518,2.78519,3.68428,3.21737,3.41734,17288,5.10013,0,0
1295000,3.3824,2.78749,2.7875,3.68428,3.21737,3.40686,16912,5.12601,0,0
1300000,3.3728,2.78974,2.78975,3.68428,3.21737,3.39664,16864,5.11029,0,0
1305000,3.3568,2.79191,2.79192,3.68428,3.21737,3.38469,16784,5.09496,0,0
1310000,3.3168,2.79392,2.79392,3.68428,3.21737,3.36432,16584,5.07703,0,0
1315000,3.368,2.7961,2.79611,3.68428,3.21737,3.36543,16840,5.04648,0,0
1320000,3.3744,2.79829,2.7983,3.68428,3.21737,3.36812,16872,5.04814,0,0
1325000,3.4672,2.80082,2.80082,3.68428,3.21737,3.39784,17336,5.05218,0,0
1330000,3.4688,2.80333,2.80333,3.68428,3.21737,3.41913,17344,5.09676,0,0
1335000,3.4432,2.80572,2.80573,3.68428,3.21737,3.42635,17216,5.12869,0,0
1340000,3.4448,2.80811,2.80811,3.68428,3.21737,3.43189,17224,5.13953,0,0
1345000,3.48,2.81061,2.81061,3.68428,3.21737,3.44632,17400,5.14783,0,0
1350000,3.4176,2.81285,2.81286,3.68428,3.21737,3.4377,17088,5.16948,0,0
1355000,3.3344,2.81478,2.81478,3.68428,3.21737,3.40671,16672,5.15656,0,0
1360000,3.2928,2.81654,2.81654,3.68428,3.21737,3.37254,16464,5.11007,0,0
1365000,3.2848,2.81825,2.81825,3.68428,3.21737,3.34622,16424,5.05881,0,0
1370000,3.3872,2.82033,2.82033,3.68428,3.21737,3.35851,16936,5.01933,0,0
1375000,3.328,2.82217,2.82218,3.68428,3.21737,3.34936,16640,5.03777,0,0
1380000,3.224,2.82363,2.82363,3.68428,3.21737,3.31175,16120,5.02404,0,0
1385000,3.2784,2.82527,2.82528,3.68428,3.21737,3.30175,16392,4.96763,0,0
1390000,3.36,2.82719,2.8272,3.68428,3.21737,3.31922,16800,4.95262,0,0
1395000,3.344,2.82905,2.82905,3.68428,3.21737,3.32666,16720,4.97883,0,0
1400000,3.3088,2.83076,2.83076,3.68428,3.21737,3.3213,16544,4.98998,0,0
1405000,3.4848,2.83309,2.83309,3.68428,3.21737,3.37035,17424,4.98195,0,0
1410000,3.56,2.83567,2.83567,3.68428,3.21737,3.42724,17800,5.05552,0,0
1415000,3.4576,2.83786,2.83786,3.68428,3.21737,3.43635,17288,5.14087,0,0
1420000,3.4512,2.84002,2.84002,3.68428,3.21737,3.44081,17256,5.15453,0,0
1425000,3.4576,2.84219,2.84219,3.68428,3.21737,3.44584,17288,5.16121,0,0
1430000,3.4704,2.84439,2.84439,3.68428,3.21737,3.45321,17352,5.16877,0,0
1435000,3.4848,2.84662,2.84662,3.68428,3.21737,3.46269,17424,5.17982,0,0
1440000,3.4848,2.84883,2.84883,3.68428,3.21737,3.46932,17424,5.19403,0,0
1445000,3.4848,2.85103,2.85103,3.68428,3.21737,3.47396,17424,5.20398,0,0
1450000,3.5328,2.85338,2.85339,3.68428,3.21737,3.49162,17664,5.21095,0,0
1455000,3.5664,2.85584,2.85584,3.68428,3.21737,3.51405,17832,5.23742,0,0
1460000,3.6144,2.85843,2.85844,3.68428,3.21737,3.54416,18072,5.27108,0,0
1465000,3.8016,2.86165,2.86166,3.68428,3.21737,3.62139,19008,5.31623,0,0
1470000,3.5344,2.86394,2.86395,3.68428,3.21737,3.59529,17672,5.43208,0,0
1475000,3.7648,2.86699,2.867,3.68428,3.21737,3.64614,18824,5.39294,0,0
1480000,3.5888,2.86943,2.86944,3.68428,3.21737,3.62894,17944,5.46922,0,0
1485000,3.6144,2.87194,2.87195,3.68428,3.21737,3.62458,18072,5.44341,0,0
1490000,3.2512,2.87321,2.87322,3.68428,3.21737,3.51257,16256,5.43687,0,0
1495000,3.0656,2.87386,2.87386,3.68428,3.21737,3.37848,15328,5.26885,0,0
1500000,3.0832,2.87455,2.87456,3.68428,3.21737,3.28989,15416,5.06771,0,0
1505000,2.7968,2.8743,2.8743,3.68428,3.21737,3.14197,13984,4.93484,0,0
1510000,2.3536,2.87257,2.87258,3.68428,3.21737,2.90546,11768,4.71295,0,0
1515000,2.296,2.87067,2.87067,3.68428,3.21737,2.72262,11480,4.35818,0,0
1520000,2.2624,2.86867,2.86867,3.68428,3.21737,2.58455,11312,4.08393,0,0
1525000,2.2464,2.86663,2.86663,3.68428,3.21737,2.48311,11232,3.87683,0,0
1530000,2.2448,2.8646,2.8646,3.68428,3.21737,2.41162,11224,3.72466,0,0
